subject,activity,window_id,stress_level,binary_stress,confidence,reasoning
2z7d,Relax,16,1.0,0,0.95,"The individual displays a calm, neutral expression with no signs of tension or stress. Eyes are steady and focused, suggesting relaxed engagement."
2z7d,Relax,2,1.0,0,0.95,"The individual maintains a calm facial expression with relaxed features and steady eye contact, indicating low stress."
2z7d,Relax,1,1.0,0,0.95,"The individual maintains a calm, neutral expression with steady eye contact and no signs of tension or distress."
2z7d,Relax,23,1.0,0,0.95,"The individual displays a calm, relaxed facial expression with no signs of tension or stress indicators."
2z7d,Relax,24,1.0,0,0.95,"The individual displays a calm, relaxed facial expression with no signs of tension or distress. No behavioral cues suggest elevated stress."
2z7d,Relax,20,1.0,0,0.95,"The individual displays a calm, slightly smiling expression with relaxed facial muscles and steady eye contact, indicating low stress."
2z7d,Relax,14,1.0,0,0.95,"The individual displays a relaxed smile and steady eye contact, indicating low stress. No signs of tension or avoidance are present."
2z7d,Relax,3,1.0,0,0.95,"The individual displays a calm, neutral expression with no signs of tension or stress. Eyes are steady and relaxed, indicating low stress."
2z7d,Relax,17,1.0,0,0.95,"The individual displays a calm, relaxed facial expression with steady eye contact and no signs of tension or stress indicators."
2z7d,Relax,10,1.0,0,0.95,"The individual displays a calm, relaxed smile with no signs of tension or stress indicators."
2z7d,Relax,12,1.0,0,0.95,"The individual displays a calm, neutral expression with steady eye contact and no signs of tension or distress."
2z7d,Relax,29,1.0,0,0.95,"The person displays a relaxed, slightly smiling expression with no signs of tension or stress indicators."
2z7d,Relax,13,1.0,0,0.95,"The individual displays a calm, relaxed smile with no signs of tension in facial muscles or body language."
2z7d,Relax,8,1.0,0,0.95,"The individual displays a calm, relaxed facial expression with steady eye contact and no signs of tension or distress."
2z7d,Relax,6,1.0,0,0.95,"The individual displays calm, neutral facial features with steady eye contact and no signs of tension or discomfort."
2z7d,Relax,25,1.0,0,0.95,"The individual displays a calm, relaxed facial expression with steady eye contact and no signs of tension or anxiety."
2z7d,Relax,18,1.0,0,0.95,"The individual displays a relaxed, smiling expression with no signs of tension or stress indicators."
