subject,activity,window_id,stress_level,binary_stress,confidence,reasoning
9txq,Baseline,5,6.0,1,0.85,"The individual exhibits a moderate level of stress, indicated by a furrowed brow and slightly tense facial muscles. There is a subtle, consistent tension in the jaw and a slight downward gaze, suggesting cognitive load and potential anxiety. The lack of significant eye movement or body language fidgeting further supports a controlled but stressed state."
9txq,Baseline,4,6.0,1,0.85,"The individual exhibits moderate stress through subtle facial cues such as a slightly furrowed brow and relaxed but tense facial muscles. There is no visible tension in the posture, but the consistent, subtle eye movements and slight blinks suggest mental strain. These cues, combined with the lack of aggressive or self-soothing behaviors, indicate an intermediate level of stress."
9txq,Baseline,11,6.0,1,0.95,"The individual displays a consistent pattern of facial tension, including slightly furrowed brows and pressed lips, indicative of high stress. Their eyes remain relatively fixed, with minimal blinking or eye contact, suggesting mental strain. The overall posture is upright but slightly tense, consistent with a stressed state."
9txq,Baseline,8,6.0,1,0.85,"The individual exhibits a moderate level of stress, indicated by a slightly furrowed brow and a subtle tightening of facial muscles. Their eyes are slightly narrowed and they appear to be focused, but there is a slight tension in the jaw and neck area, suggesting mental strain. These cues are consistent with moderate stress, and the confidence is high due to the clear and observable behavioral indicators."
9txq,Baseline,3,5.0,1,0.85,"The individual exhibits a moderate level of stress, indicated by subtle facial tension and slight jaw tightening. Their eyes appear slightly narrowed, and their mouth is slightly parted, which are common signs of anxiety. The overall posture is neutral, but the lack of relaxation suggests ongoing stress rather than calmness."
9txq,Baseline,2,6.0,1,0.85,"The individual exhibits a moderate level of stress, indicated by a furrowed brow and slightly tense facial muscles. The expression is consistent with mental effort or anxiety, and the slight blurring of the mouth suggests an ongoing emotional response. These cues, combined with minimal eye movement, suggest an intermediate stress state."
9txq,Baseline,0,7.0,1,0.95,"The individual exhibits significant facial tension with furrowed brows and pressed lips, indicative of high stress. Their eyes are slightly narrowed and they appear to be avoiding direct eye contact, suggesting anxiety. The slight tension in their facial muscles and lack of relaxed body language further support a high stress level."
9txq,Baseline,10,6.0,1,0.85,"The individual displays moderate stress through subtle facial tension, slightly furrowed brows, and a tense jaw. Their eyes are directed slightly away from the camera, indicating possible anxiety or distraction. The overall body language appears engaged but not rigid, suggesting a moderate level of stress in the context of the task."
9txq,Baseline,1,6.0,1,0.85,"The individual displays a moderate level of stress through a furrowed brow and slightly parted lips, indicating cognitive strain. Their gaze is directed forward with minimal blinking, and their posture remains relatively rigid, consistent with heightened alertness and potential anxiety during a task."
9txq,Baseline,9,6.0,1,0.95,"The individual displays consistent signs of stress, including a slightly furrowed brow, slightly parted lips, and subtle facial tension. Their eyes remain mostly directed forward but show minimal blinking, and their posture is upright without signs of fidgeting or self-soothing behaviors. The facial expressions and minimal eye movement suggest moderate psychological arousal, which is indicative of stress in a task context."
