subject,activity,window_id,stress_level,binary_stress,confidence,reasoning
2z7d,Relax,16,3.0,0,0.7,"The subject displays a generally neutral expression with slight downward gaze, not exhibiting strong indicators of high stress like furrowed brows or tense features. The lack of visible self-soothing behaviors or rigid posture suggests a low to moderate baseline stress level."
2z7d,Relax,2,3.0,0,0.75,"The subject exhibits a relatively neutral facial expression with no overt signs of high stress like furrowed brows or tense muscles. Eye gaze appears steady, suggesting a low or moderate level of cognitive load rather than acute distress."
2z7d,Relax,1,3.0,0,0.65,"The subject exhibits a relatively neutral facial expression with no pronounced signs of acute stress such as furrowed brows or tense features. Eye gaze appears directed towards a focal point, suggesting moderate engagement rather than high distress."
2z7d,Relax,23,3.0,0,0.75,"The subject displays a soft, slight smile and relaxed facial features, indicating low emotional arousal. There are no visible indicators of acute stress such as furrowed brows or tense musculature."
2z7d,Relax,24,2.0,0,0.85,"The individual displays a slight, pleasant smile with relaxed features, indicating low stress. There are no visible indicators like furrowed brows or rigid posture present in the frame."
2z7d,Relax,20,3.0,0,0.7,"The subject displays a slight, subtle smile and relaxed facial muscles, suggesting low emotional arousal. There are no overt signs of tension such as furrowed brows or rigid posture visible in the short clip."
2z7d,Relax,14,2.0,0,0.85,"The subject displays a relaxed, genuine smile with no visible signs of tension like furrowed brows or rigid posture. The overall facial expression suggests a positive or neutral affective state, indicating low stress."
2z7d,Relax,3,3.0,0,0.6,"The subject exhibits a relatively neutral facial expression with slightly lowered brows, suggesting mild focus rather than high stress. No overt indicators like clenching or significant gaze aversion are present in the available frame."
2z7d,Relax,17,3.0,0,0.75,"The subject exhibits a slight, neutral-to-mild positive facial expression without strong indicators of high stress. No significant negative cues like furrowed brows or rigid posture were observed in the short clip."
2z7d,Relax,10,3.0,0,0.7,"The subject displays a gentle, closed-mouth smile without significant indicators of tension like furrowed brows or rigid posture. The overall facial affect appears relaxed, suggesting a low to moderate level of stress."
2z7d,Relax,12,3.0,0,0.7,The subject exhibits a relatively neutral facial expression with no overt signs of distress like furrowed brows or tense musculature. Their gaze appears steady and the overall presentation suggests a low to moderate level of arousal rather than acute stress.
2z7d,Relax,29,4.0,0,0.7,"The individual exhibits some signs of mild tension, such as slightly narrowed eyes and a generally neutral but somewhat constrained facial expression. There are no strong indicators of high acute stress like severe furrowing or intense fidgeting visible in the frames."
2z7d,Relax,13,2.0,0,0.85,"The individual displays a slight, relaxed smile and a relatively neutral facial posture. There are no overt signs of tension such as furrowed brows or clenched jaw evident in the frames."
2z7d,Relax,8,2.0,0,0.7,"The subject exhibits a relaxed facial expression with a slight, natural smile, indicating low emotional arousal. There are no discernible signs of stress indicators such as furrowed brows or tension in the jaw."
2z7d,Relax,6,3.0,0,0.6,The subject exhibits a relatively neutral facial expression with no overt signs of distress like furrowed brows or pressed lips. The overall composure suggests a low to moderate baseline stress level during the observed frame.
2z7d,Relax,25,2.0,0,0.85,"The subject displays a slight, relaxed smile and open facial features, suggesting low emotional arousal. There are no prominent indicators of tension such as furrowed brows or rigid posture."
2z7d,Relax,18,3.0,0,0.75,"The subject displays a mild, ambiguous facial expression that is not indicative of high stress. There are no pronounced cues like furrowed brows, clenched jaw, or visible tension to suggest significant distress."
2z7d,Relax,5,3.0,0,0.6,"The subject displays a relatively neutral to slightly pleasant expression with no strong indicators of acute stress. There are no clear signs of furrowed brows, jaw tension, or excessive fidgeting in the brief sample."
2z7d,Relax,27,3.0,0,0.85,"The subject exhibits a positive, genuine smile and relaxed facial musculature. There are no visible indicators of tension such as furrowed brows or clenched jaws."
2z7d,Relax,0,3.0,0,0.7,"The subject displays a slight, relaxed smile with relatively neutral facial features. There are no overt signs of high stress such as furrowed brows or rigid posture visible in the samples."
2z7d,Relax,19,2.0,0,0.9,"The subject displays a genuine, relaxed smile with open facial muscles, indicating a low level of arousal. There are no visible signs of tension such as furrowed brows or tight jaw musculature."
2z7d,Relax,15,3.0,0,0.75,"The subject exhibits a subtle, mild smile and relaxed facial muscles, indicating a low level of acute stress. There are no clear indicators of high arousal such as furrowed brows or rigid posture."
2z7d,Relax,11,2.0,0,0.85,"The individual displays a slight, relaxed smile and open facial features, indicating a low level of tension. No overt stress indicators like furrowed brows or rigid posture are visible."
2z7d,Relax,7,3.0,0,0.75,"The individual displays a slight, neutral smile and relaxed facial features, indicating low immediate stress. There are no overt signs like furrowed brows or tense musculature visible in the brief clip."
