subject,activity,window_id,stress_level,binary_stress,confidence,reasoning
9txq,Baseline,5,5.0,1,0.95,"The individual exhibits a clear increase in stress, marked by a furrowed brow and slightly tense facial muscles. Their eyes are slightly narrowed and their mouth is slightly open, suggesting discomfort. This is reinforced by the subtle tension in their facial structure and the slight head tilt, which are common indicators of stress in affective computing."
9txq,Baseline,4,6.0,1,0.95,"The individual displays consistent signs of stress, including a slight furrow on the brow and a subtle tightening of the jaw. Their gaze shifts downward and away from the camera, indicating avoidance, and their facial muscles appear tense. These cues, combined with a neutral posture and minimal fidgeting, suggest an internal state of moderate anxiety or concentration."
9txq,Baseline,11,5.0,1,0.95,"The individual exhibits a moderate level of stress, indicated by subtle facial tension and a slightly tense posture. The eyes are focused but appear to be engaged in a task with some mental effort, and the mouth is slightly parted, suggesting concentration rather than relaxation. There is no strong evidence of extreme stress, but the combination of these cues points to a moderate level of psychological arousal."
9txq,Baseline,8,5.0,1,0.95,"The individual exhibits a moderate level of stress, indicated by a slightly furrowed brow and a tense jaw, consistent with a stressed state. The eyes are slightly narrowed and appear to be looking down, which is a common behavioral cue of anxiety or concentration. The posture is upright but not rigid, suggesting a moderate level of engagement rather than extreme stress."
9txq,Baseline,3,6.0,1,0.95,"The individual exhibits a moderate level of stress, indicated by subtle facial tension and slight furrowing of the brow. Their eyes are slightly narrowed and they maintain a focused gaze, suggesting concentration, but there is a minor lack of engagement in the eyes, which could reflect anxiety. The overall posture is upright but not rigid, and there is no significant fidgeting, suggesting a controlled but tense state."
9txq,Baseline,2,7.0,1,0.95,"The individual exhibits a high stress level through a combination of facial cues, including a furrowed brow and pressed lips, which are strong indicators of anxiety. Their eyes are slightly narrowed and their head is slightly tilted, suggesting a tense and focused state. The consistent, subtle facial tension and lack of relaxation indicate a sustained level of stress."
9txq,Baseline,0,6.0,1,0.95,"The individual exhibits a moderate level of stress, as indicated by their slightly furrowed brow and a subtle tightening of the jaw. Their eyes are directed forward with a neutral expression, but the overall posture appears slightly tense, suggesting an internal state of alertness or anxiety."
9txq,Baseline,10,6.0,1,0.95,"The individual displays a moderate level of stress, indicated by a slightly furrowed brow and a subtle tension in the jaw. Their gaze is directed forward but appears somewhat fixed, with minimal eye movement, which is typical of concentration under pressure. The posture is upright but lacks the relaxed, slightly tensed appearance of calmness, suggesting a moderate level of arousal."
9txq,Baseline,1,7.0,1,0.95,"The individual exhibits a high stress level through a combination of facial cues, including furrowed brows and pressed lips, and subtle body language such as slight head movements and a tense posture. These indicators are consistent with a state of heightened anxiety or concentration, which is further supported by the observed eye movements and the general facial tension."
9txq,Baseline,9,7.0,1,0.95,"The individual displays significant stress through a combination of facial cues, including a furrowed brow and slightly parted lips, and a downward gaze. The eyes are narrowed and appear to be focused on something out of frame, suggesting mental strain. The overall posture is relaxed, but the facial expressions and subtle movements are consistent with high stress levels."
