subject,activity,window_id,ECG_Rate_Mean,EDA_Tonic_SD,HRV_AI,HRV_ApEn,HRV_C1a,HRV_C1d,HRV_C2a,HRV_C2d,HRV_CD,HRV_CMSEn,HRV_CSI,HRV_CSI_Modified,HRV_CVI,HRV_CVNN,HRV_CVSD,HRV_Ca,HRV_Cd,HRV_DFA_alpha1,HRV_FuzzyEn,HRV_GI,HRV_HF,HRV_HFD,HRV_HFn,HRV_HTI,HRV_IALS,HRV_IQRNN,HRV_KFD,HRV_LF,HRV_LFHF,HRV_LFn,HRV_LZC,HRV_LnHF,HRV_MCVNN,HRV_MFDFA_alpha1_Asymmetry,HRV_MFDFA_alpha1_Delta,HRV_MFDFA_alpha1_Fluctuation,HRV_MFDFA_alpha1_Increment,HRV_MFDFA_alpha1_Max,HRV_MFDFA_alpha1_Mean,HRV_MFDFA_alpha1_Peak,HRV_MFDFA_alpha1_Width,HRV_MSEn,HRV_MadNN,HRV_MaxNN,HRV_MeanNN,HRV_MedianNN,HRV_MinNN,HRV_PAS,HRV_PI,HRV_PIP,HRV_PSS,HRV_Prc20NN,HRV_Prc80NN,HRV_RCMSEn,HRV_RMSSD,HRV_S,HRV_SD1,HRV_SD1SD2,HRV_SD1a,HRV_SD1d,HRV_SD2,HRV_SD2a,HRV_SD2d,HRV_SDANN1,HRV_SDANN2,HRV_SDANN5,HRV_SDNN,HRV_SDNNI1,HRV_SDNNI2,HRV_SDNNI5,HRV_SDNNa,HRV_SDNNd,HRV_SDRMSSD,HRV_SDSD,HRV_SI,HRV_SampEn,HRV_ShanEn,HRV_Symbolic_EqualProb4_0V,HRV_Symbolic_EqualProb4_1V,HRV_Symbolic_EqualProb4_2LV,HRV_Symbolic_EqualProb4_2UV,HRV_TINN,HRV_TP,HRV_ULF,HRV_VHF,HRV_VLF,HRV_pNN20,HRV_pNN50,RAV_CVSD,RAV_Mean,RAV_RMSSD,RAV_SD,RRV_ApEn,RRV_CVBB,RRV_CVSD,RRV_HF,RRV_MCVBB,RRV_MadBB,RRV_MeanBB,RRV_MedianBB,RRV_RMSSD,RRV_SD1,RRV_SD2,RRV_SD2SD1,RRV_SDBB,RRV_SDSD,RSP_Phase_Duration_Expiration,RSP_Phase_Duration_Inspiration,RSP_Phase_Duration_Ratio,RSP_RVT,RSP_Rate_Mean,RSP_Symmetry_PeakTrough,RSP_Symmetry_RiseDecay,SCR_Peaks_Amplitude_Mean,SCR_Peaks_N
2ea4,Baseline,0,63.91142770588903,5040.640929003404,51.82634743,0.37321546,0.63298119,0.36701881,0.47739598,0.52260402,1.53690976,0.0,3.08930745,657.73283074,4.16651565,0.08346356,0.05102546,0.49216041,0.50783959,1.69684391,0.90455257,51.93965517,0.03199045,1.39881888,0.85975405,4.42857143,0.44827586,56.0,2.10207161,,,,0.79906392,-3.442318,0.06683852,-0.49767676,0.0665797,0.00390461,0.4891141,-0.13731596,2.33469414,2.32920028,2.36474495,0.0,32.6172,514.0,469.64516129,488.0,377.0,0.0,41.37931034,0.41935484,0.76923077,436.0,500.0,0.0,23.96386168,2881.01510491,17.22928541,0.32369714,13.71193791,10.44113219,53.22655979,36.77627817,38.47820202,,,,39.19825539,,,,27.75348516,28.19210237,1.63572365,24.3658891,52.04278832,1.43508453,4.76064792,0.24137931,0.4137931,0.17241379,0.17241379,117.1875,0.03720883,,0.00521839,,22.58064516,3.22580645,0.9317345918653408,17919.59673651469,16696.30815168801,10946.47723107315,0.1335313926245223,0.3934515552289708,0.6271589803914588,0.0406887983321494,0.2020502725620835,333.585,1546.2222222222222,1651.0,969.7271523475044,732.9711307899026,450.5171587381112,0.6146451610619389,608.3635380629287,1036.577713991024,0.7821111111111111,0.7037,0.8997442818582185,4204.267968087275,21.02580882541456,0.692110337410564,0.507944400798794,5250.981591732879,6.0
2ea4,Baseline,1,62.37468782411655,2643.2828058223613,48.53525877,0.18237755,0.48756482,0.51243518,0.57351379,0.42648621,1.84988502,0.0,2.43529232,308.05420034,3.81760097,0.05029331,0.03750664,0.56110596,0.43889404,1.63636409,1.26143796,48.45605701,0.04256975,1.84293256,1.0,5.0,0.39285714,33.25,2.29411436,,,,0.98137812,-3.15661138,0.05462211,-0.33227995,-1.10552988,0.00677959,0.64946695,-0.74066298,2.62022532,2.19449458,2.53834142,0.0,25.9455,527.0,481.26666667,475.0,438.0,0.0,57.14285714,0.36666667,0.54545455,458.8,502.4,0.0,18.0506949,1290.12224464,12.98568746,0.41062832,9.07016302,9.29861741,31.62394491,23.94903281,20.65230542,,,,24.20449279,,,,18.10834103,16.01533648,1.34091751,18.36453532,48.37601779,1.60943791,4.57355726,0.35714286,0.42857143,0.17857143,0.03571429,31.25,0.04256975,,,,33.33333333,0.0,0.6006016122021354,21125.71037013592,12688.135707219004,9484.47984926381,0.1541506798272587,0.4351314465001627,0.5753389230951322,0.0131738896048851,0.3246779069767441,502.6014,1570.875,1548.0,903.785530817066,669.1294095066115,697.6473304034407,1.0426194402632178,683.5371110209431,946.2918859069508,1.0147499999999998,0.5334444444444445,0.525690509430347,3851.974987108132,20.55089817540706,0.668410993041019,0.3698175874274861,2418.912869813696,4.0
2ea4,Counting1,0,70.2669522901121,5430.630738276988,41.6136931,0.29483784,0.65929958,0.34070042,0.56940609,0.43059391,2.02270807,0.0,3.29666614,664.83270795,4.09119985,0.08834462,0.05042433,0.57710974,0.42289026,1.2500484,0.96658405,41.45907473,0.01891241,1.65567929,0.78266982,6.8,0.40625,44.25,2.02185773,,,,0.89778756,-3.96793717,0.08047889,-0.43415303,-0.11763896,0.00047927,0.04899249,0.60136253,1.48441815,1.43727366,0.71597048,0.0,33.3585,514.0,426.29411765,414.5,374.0,0.14285714,50.0,0.38235294,0.61538462,395.6,452.6,0.0,21.49559504,2422.31011123,15.29334377,0.30333675,12.53308123,9.00954355,50.41704858,38.04420152,33.08349315,,,,37.66079017,,,,28.32348314,24.2455088,1.75202362,21.62805417,41.32005185,1.32175584,4.91099225,0.3125,0.34375,0.15625,0.1875,39.0625,0.02416396,,0.00525156,,38.23529412,0.0,0.4788512785429683,27566.14706549399,13200.084766815293,9826.901108036303,0.1823215567939544,0.4866613981162686,0.7659232862659938,0.0217709167026051,0.4996911111111111,809.4996,1722.2857142857142,1620.0,1319.1387341746888,1008.5186165857326,622.8547258581328,0.6175936820747671,838.169973669962,1426.2607054812945,1.0432857142857144,0.631875,0.6056586334383129,5309.811073346739,20.04781311310211,0.6830312202271773,0.4143355157759848,7618.732485075311,2.0
2ea4,Counting1,1,70.45806621271198,3992.738187444443,53.51046616,0.27961724,0.38903779,0.61096221,0.57817821,0.42182179,1.91287791,0.0,2.4847194,376.49630068,3.96568937,0.06817586,0.04990983,0.55173896,0.44826104,1.3177914,1.10432234,53.7593985,0.04504358,1.70322715,0.74983454,4.25,0.3030303,28.75,1.74913923,,,,1.04741882,-3.10012471,0.05263669,-0.08893097,-0.69033578,0.00103607,0.08026298,0.0278966,1.71023679,1.33623552,0.90982594,0.0,22.239,498.0,426.08823529,422.5,365.0,0.0,48.48484848,0.26470588,0.2,404.8,441.8,0.0,21.2659922,1814.34245983,15.24565263,0.40245993,9.5246391,11.9360274,37.88116886,28.80409481,24.60298918,,,,29.04893223,,,,21.45221,19.33618145,1.36598057,21.56060872,54.01304619,1.09861229,4.73452166,0.21875,0.5,0.1875,0.09375,62.5,0.06007137,,0.01502778,,29.41176471,0.0,0.8494276368871208,27277.92104771802,23170.62001475657,14818.20610938308,0.2876820724517808,0.5683876263993964,0.9925383466225352,0.0442541771972319,0.6922168451801364,1421.8134,1953.0,2054.0,1938.427390953812,1561.6483145488723,160.39183790538254,0.1027067595252497,1110.0610343580213,2208.5042260921005,0.7535999999999999,1.038166666666667,1.3776096956829442,4580.904258055127,16.890074537303565,0.6398500550679515,0.6448937410672981,3432.2801498676795,7.0
2ea4,Counting2,0,64.07437556998386,3756.595634530271,50.79196219,0.27570945,0.6720629,0.3279371,0.38374938,0.61625062,1.61591348,0.0,2.9436486,669.13274989,4.24436668,0.09018011,0.05732605,0.41358397,0.58641603,1.58398881,0.93856628,50.76923077,0.00820843,1.45074943,0.70226727,7.75,0.5,54.5,1.96800528,,,,0.79906392,-4.80259382,0.08064351,-0.48037787,0.07523242,5.93304625e-05,0.02197375,0.38467545,1.67981339,1.66597837,0.70507264,0.0,38.5476,534.0,468.29032258,478.0,376.0,0.16666667,33.33333333,0.4516129,0.6,420.0,499.0,0.0,26.84523546,3446.64512223,19.30546942,0.33971446,15.82773646,11.05628235,56.82851801,35.2038508,44.61131413,,,,42.23047363,,,,27.29311591,32.49931328,1.57310871,27.30205668,50.74505294,1.09861229,4.63161567,0.24137931,0.51724138,0.06896552,0.17241379,148.4375,0.01168847,,0.00348004,,45.16129032,6.4516129,0.5913535922288442,26542.682053179124,15696.110379535548,9494.417357178416,0.4054651081081645,0.4874434165527105,0.6594314660489089,0.006941613828262,0.30497524311851,925.1424000000004,2750.25,3033.5,1813.601389501012,1528.7480171696054,1121.2935981861904,0.733471825044264,1340.5912563740922,2161.976179332233,1.494,1.2284,0.8222222222222222,4012.472061963186,12.554230527613312,0.6752093032830809,0.4983322306785234,4266.4228424131325,4.0
2ea4,Counting3,0,64.12786040088301,384.6327259503013,51.77763146,0.3381096,0.39379845,0.60620155,0.62950426,0.37049574,1.60851375,0.0,3.91060346,911.80895525,4.14307636,0.0898019,0.04429948,0.61502336,0.38497664,1.73821544,0.9578161,51.83823529,0.01417879,1.49100569,0.90121405,7.75,0.33333333,67.5,1.98047017,,,,0.79906392,-4.25600814,0.11329913,-0.35783992,-0.68914001,0.00086946,0.14184478,-0.10211983,2.20891103,2.01772103,1.34489232,0.0,51.891,539.0,468.09677419,458.0,382.0,0.0,60.0,0.29032258,0.5,438.0,514.0,0.0,20.73644135,2729.64553768,14.9058347,0.25571501,9.35875028,11.61152816,58.2908088,46.24868808,35.4806601,,,,42.03598049,,,,33.36560622,26.3979623,2.02715499,21.08003359,51.88629485,2.30258509,4.76064792,0.31034483,0.5862069,0.10344828,0.0,85.9375,0.01573299,,0.0015542,,38.70967742,0.0,0.5961792797667727,27569.406968516927,16436.309190087464,12537.18223225414,0.4054651081081645,0.863963302738287,0.8320003774738028,0.0027103332056639,0.5329457700650758,859.9079999999999,2373.5,1613.5,1974.7528959340711,1129.934806378964,2670.825090990922,2.36369839738804,2050.6168990493243,1597.969127778548,0.84225,1.2732,1.5116651825467495,3423.778838307764,14.192781328310984,0.7811865057282362,0.6262615829969582,3581.9231603830685,6.0
2ea4,Counting3,1,67.50144234163504,2342.644872895453,42.21245909,0.16548219,0.73600449,0.26399551,0.38517955,0.61482045,2.10436441,0.0,2.24125171,320.39198187,3.95989138,0.06485154,0.05037745,0.4442203,0.5557797,1.19947937,1.23650618,41.91829485,0.04489334,1.79469789,0.7265696,6.6,0.375,38.0,2.10898961,,,,1.070023,-3.10346579,0.06604009,-0.12146059,-1.54606008,0.00074875,0.08441137,-0.54921719,1.68976679,1.31858057,0.98057484,0.0,29.652,483.0,444.18181818,449.0,373.0,0.0,43.75,0.33333333,0.5,420.8,469.0,0.0,22.37674574,1790.28127315,15.94558223,0.44617925,13.79165245,8.25989143,35.73806337,22.1800554,28.02238954,,,,28.80587456,,,,18.4684127,20.6576877,1.28731295,22.55045865,41.61322982,1.79175947,4.98378806,0.19354839,0.61290323,0.12903226,0.06451613,101.5625,0.06178808,,0.01689474,,30.3030303,3.03030303,0.7158282380235518,31282.57076340874,22392.947510417955,16850.63766362547,0.4054651081081645,0.6200907282944146,0.7797366343388683,0.0043983715788041,0.4072744991511035,599.7117,1841.25,1472.5,1435.6900779764412,1005.389559656687,1263.464153297064,1.256691141420349,1141.742053472091,1421.8355507348006,1.2067500000000002,0.8417999999999999,0.6975761342448724,4158.49991532408,22.478123398403586,0.7594013806902522,0.3775214334200439,1856.7623912326435,6.0
2ea4,Math,0,63.58569458576116,1643.5945956062783,57.86398487,0.2826925,0.47105061,0.52894939,0.42055168,0.57944832,1.96815597,0.0,3.93611648,1185.45153423,4.36256378,0.11651799,0.0568756,0.42366581,0.57633419,1.71513566,0.97504089,57.64705882,0.01373958,1.45573975,1.0,10.0,0.31034483,62.75,2.01210761,,,,0.98137812,-4.28747454,0.1054633,-0.01447484,-1.55298188,0.00076138,0.0893332,-0.57009551,2.21436777,1.72127917,1.01557784,0.0,51.1497,561.0,471.6,485.0,365.0,0.0,41.37931034,0.26666667,0.33333333,431.8,518.6,0.0,26.82253299,4524.74044322,19.1288089,0.25405752,13.2476413,14.03821315,75.29321992,48.82762013,57.31433048,,,,54.94988312,,,,35.77454743,41.7253155,2.04864631,27.05222098,57.38342796,1.2039728,4.84022393,0.25,0.39285714,0.17857143,0.17857143,101.5625,0.01373958,,,,50.0,3.33333333,0.7954991879988755,23877.77415504443,18994.74995155838,11395.536579685044,0.2876820724517808,0.5332593069316335,0.7706269266825764,0.0066531993232604,0.1494320158102766,226.8378,1739.4,1518.0,1340.4284762716734,1086.0811050131877,735.6156831752116,0.6773119242934251,927.5512384768832,1535.9506285468076,1.1542,0.6405,0.5549298215214001,3933.75647811342,22.000184018347777,0.7164116883938739,0.4826876981734034,4144.846420562116,7.0
2ea4,Reading,1,74.8107845664907,2500.415552970634,51.78969359,0.25880461,0.60403762,0.39596238,0.37340749,0.62659251,1.7397283,0.0,2.48140279,341.41515237,3.88247378,0.06469539,0.04817648,0.40565216,0.59434784,1.19170919,1.31168415,51.75600739,0.03652477,1.75910251,0.60823662,5.14285714,0.48484848,26.75,2.76190631,,,,1.00526319,-3.30976462,0.04776654,-0.30267392,-0.99571819,0.00068848,0.12525435,-0.371774,1.68449698,1.4238778,1.32075387,0.0,19.2738,451.0,401.22222222,403.5,346.0,0.0,36.36363636,0.47222222,0.6875,384.0,418.0,0.0,19.32947416,1497.97191975,13.86207571,0.40299785,10.77783674,8.72622821,34.39739339,21.01924174,27.22814993,,,,25.95722978,,,,16.70284838,20.21780413,1.34288339,19.60393546,51.71792883,1.33500107,4.76006702,0.23529412,0.44117647,0.17647059,0.14705882,78.125,0.06005026,,0.02352549,,30.55555556,0.0,0.2654009329775531,37185.8883951429,9869.169473670092,6167.906575026177,0.4054651081081645,0.2633063275428002,0.230205423993658,0.00185787674845,0.2261655652173912,455.1582,2087.25,2012.5,480.49627123076266,172.37217486203122,757.8770788634965,4.396748370031942,549.5861321637097,243.77106746563123,1.3282500000000002,0.7734,0.5822699040090343,4261.614560513332,13.723262166000424,0.8140302470800159,0.3748821093649631,3767.116845428151,6.0
2ea4,Relax,4,63.62300015534908,313.28730804190087,47.89987182,0.30922857,0.5147801,0.4852199,0.56028579,0.43971421,1.90221371,0.0,3.22136499,744.45073302,4.21955212,0.08924679,0.05286218,0.55628236,0.44371764,1.66551842,1.10553033,47.920434,0.02988974,1.57905335,1.0,7.5,0.24137931,47.5,2.1250972,,,,0.98137812,-3.51023988,0.08413041,-0.32314683,-1.33252509,0.00658753,0.69623857,-1.14266689,2.70471381,2.21644385,2.76087769,0.0,39.2889,559.0,471.7,467.0,395.0,0.0,55.17241379,0.2,0.42857143,433.6,498.8,0.0,24.93508814,3255.23247651,17.93478196,0.31042741,12.87439319,12.49928569,57.77447874,43.24549157,38.31080595,,,,42.09771064,,,,31.90550533,28.49517499,1.68829203,25.36361189,47.95394524,1.178655,4.64022393,0.39285714,0.53571429,0.07142857,0.0,117.1875,0.02988974,,,,40.0,3.33333333,0.3087721662509633,11464.5600838242,3539.9370521967244,4211.815780254613,0.4054651081081645,0.6430304269746581,0.7104068401030861,0.0035892595469083,0.7030950124688279,1691.6465999999998,2301.0,2406.0,1634.646139077201,1253.0325880306011,1675.8337228575708,1.337422297604796,1479.613012468688,1772.0556800883355,0.837,1.4498000000000002,1.7321385902031066,1646.0294215489146,15.781529727013243,0.4780787063535872,0.6278890769257913,1276.1554576008054,2.0
